Time,C_1,C_2,C_3,C-4,C_5,C_6,C_7,C_8
1486944548.652867,160,169,40,194,51,258,66,183
1486944548.668511,119,133,38,203,48,169,55,149
1486944548.690773,110,125,38,219,46,121,44,135
1486944548.713528,136,121,34,210,43,107,36,130
1486944548.730008,169,122,36,197,45,83,32,122
1486944548.750483,186,130,35,186,45,75,33,120
1486944548.773523,198,124,37,166,42,54,30,110
1486944548.788508,220,128,35,130,36,49,33,125
1486944548.811172,232,152,37,130,37,45,33,146
1486944548.832577,232,162,32,117,38,49,33,198
1486944548.84781,318,223,31,122,42,277,34,306
1486944548.87081,525,507,36,130,65,471,161,489
1486944548.893571,682,707,60,177,76,604,581,517
1486944548.908664,815,870,244,342,100,711,721,750
1486944548.930169,852,908,360,590,121,905,802,832
1486944548.952971,924,992,496,637,155,983,856,889
1486944548.968425,889,980,658,728,207,978,923,833
1486944548.99097,905,935,760,771,228,982,835,887
1486944549.013678,903,892,796,735,224,966,795,751
1486944549.02778,997,914,810,583,221,803,736,719
1486944549.050415,1057,960,797,558,200,674,688,659
1486944549.073186,1053,922,681,445,145,574,586,699
1486944549.088353,952,872,580,361,106,442,443,745
1486944549.111038,856,787,483,339,93,307,294,720
1486944549.132844,713,733,381,284,74,276,233,678
1486944549.147902,541,623,228,222,67,239,188,675
1486944549.170566,461,598,195,190,53,241,147,685
1486944549.193358,604,594,137,156,47,218,113,726
1486944549.208588,607,570,105,94,48,211,78,836
1486944549.230091,695,557,84,88,53,203,66,923
1486944549.252891,720,449,62,81,52,176,57,895
1486944549.268127,721,373,57,78,48,150,53,832
1486944549.290943,604,327,47,76,60,134,53,702
1486944549.31361,592,350,43,58,64,133,44,571
1486944549.335351,570,540,43,62,69,121,49,469
1486944549.35059,609,693,44,62,69,111,47,515
1486944549.382317,678,794,44,60,74,104,55,563
1486944549.398145,706,875,47,58,73,113,56,582
1486944549.413525,743,886,46,51,79,203,60,582
1486944549.434077,763,953,56,50,74,238,59,582
1486944549.455688,713,1053,75,60,79,349,59,702
1486944549.470701,934,1076,91,61,86,481,57,774
1486944549.493609,949,1135,107,66,102,553,62,773
1486944549.516193,961,1235,168,67,154,555,60,817
1486944549.530326,920,1140,176,66,167,578,69,827
1486944549.553039,1011,968,172,57,178,554,76,719
1486944549.575725,792,858,169,60,177,510,75,609
1486944549.59119,832,676,159,58,167,485,70,553
1486944549.613922,953,610,106,58,121,505,70,474
1486944549.635329,1031,689,90,55,104,492,75,615
1486944549.650453,1052,851,83,52,80,509,78,658
1486944549.673197,1136,994,75,45,84,469,82,863
1486944549.695967,1181,1067,74,44,122,485,80,1169
1486944549.710279,1155,1078,56,56,191,578,80,1180
1486944549.741758,1114,1009,52,59,204,673,65,1083
1486944549.752142,1044,943,52,65,259,675,52,1047
1486944549.770859,940,820,52,78,289,726,40,894
1486944549.79389,843,759,53,81,287,754,42,447
1486944549.807464,1091,1045,47,79,267,688,169,519
1486944549.830177,1048,1037,48,81,259,656,197,529
1486944549.853041,1103,1159,47,91,211,622,199,695
1486944549.868226,1246,1324,50,103,167,556,200,757
1486944549.890924,1279,1390,59,104,155,486,200,801
1486944549.912626,1076,1194,111,122,160,465,128,746
1486944549.927745,1109,1275,115,122,175,418,80,716
1486944549.950442,1096,1154,119,121,170,437,79,532
1486944549.973305,1173,954,124,109,173,444,83,401
